"X212044","occ","X","X.1","X21294","Euthecodon.brumpti","species","X266684","X.2","Euthecodon.brumpti.1","X.3","species.1","X266684.1","Calabrian","X.4","X1.8","X0.774","Harris.et.al..1988","X1988","X4454","Chordata","Reptilia","Crocodylia","Crocodylidae","Euthecodon","X.5","X.6","X.7","X35.792000","X4.250000","X.8","West.Turkana...Natoo.region","X.9","ETE.Locality.91..Natoo.region..","KE","Rift.Valley","West.Turkana","X.10","X4","X.11","X.12","X.13","composite.of.twelve.localities..KL1.2..KL5..LK3..NK2.4..NN..KI2..NA1..LP1..and.NT.coordinates.are.for.type.section.in.Kaitio.drainage","gplates","X712","mid","X35.77","X3.96","KE.1","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","Nachukui","Omo","Natoo","X.27","X.28","X.29","X.30","X.31","X.32","X.33","X.34","X.35","X.36","X.37","ETE.dating.method..absolute..ETE.age.comment..between.Lower.Koobi.Fora.Tuff...Okote.Tuff..1.64.....0.03...Lower.Nariokotome.Tuff..1.33.....0.03..radiometric.intage_min","ETE.rock.type.adj..pale.yellow.brown..ETE.lithology.comments..also.silt..thirteen.fining.upward.cyclessand.to.silt..interbedded.tuffs","sandstone","red.or.brown.yellow","X.38","X.39","X.40","X.41","X.42","X.43","X.44","X.45","lacustrine...small","rift","ETE.sed.env.1..deltaic..ETE.sed.env.2..shallow_lake.ETE.event.....ETE.env.comment..upward.fining.cycles","X.46","X.47","X.48","X.49","X.50","X.51","X.52","X.53","X.54","X.55","X.56","X.57","X.58","X.59","X.60","X.61","X.62","X.63","X.64","X.65","ETE.Abrasion.....ETE.Assemblage.formation.....ETE.transport.....ETE.weathering.trampling.....ETE.part.concentration.....ETE.time.represented..10.5.10.6..ETE.vert.pres..mixed_frags..ETE.invert.pres.....ETE.plant.pres...","X.66","surface..in.situ.","X.67","X.68","X0","X.69","X.70","X.71","ETE.Size..macro..ETE.reference.list..6....ETE.museum.list..KENYA.N.M.","X.72","X.73","marine","X.74","actively.mobile","X.75","X.76","carnivore","X.77","X.78","X.79","hydroxyapatite","X.80","X.81","X.82"
212059,"occ",NA,"",21300,"Crocodylus sp.","genus",38441,"","Crocodylus",NA,"genus",38441,"Gelasian","",2.58,1.8,"Harris et al. 1988",1988,4454,"Chordata","Reptilia","Crocodylia","Crocodylidae","Crocodylus",NA,NA,"",35.766998,4.189,"","West Turkana - Kalochoro region",NA,"ETE Locality 97, Kalochoro region, ","KE","Rift Valley","West Turkana","","4",NA,"","","bin the Laga Kalochoro, about 5km west of the roadcrossing, where the member is 78m thick."" composite of 6 localities: LA1, KK, KG1-2, KL4, and KI3","gplates","712","mid",35.71,3.6,"KE","",NA,NA,"","",NA,NA,"","",NA,NA,"","","Nachukui","Omo","Kalochoro","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: between Kalochoro Tuff (2.36 +/- 0.05) and KBS Tuff (1.88 +/- 0.02); KBS Tuff also dated by Ar/Ar radiometric intage_min","ETE rock type adj: fine-medium grained, ETE lithology comments: also silt, clay, conglomerate, and dolo-mite; upward fining cycles","sandstone","planar lamination","","","","","","","","","lacustrine indet.","rift","ETE sed env 1: lacustrine, ETE sed env 2: lake_margin ETE event: ., ETE env comment: refers to fossiliferous upper part; fluvial lower","","","","","","","","","","","","","","","","","","","","","ETE Abrasion: ., ETE Assemblage formation: ., ETE transport: ., ETE weathering/trampling: ., ETE part concentration: ., ETE time represented: 10^5-10^6 ,ETE vert pres: ., ETE invert pres: ., ETE plant pres: .","","surface (in situ)","","","0","","","","ETE Size: macro; ETE reference list: 6, ; ETE museum list: KENYA N.M.","","","marine",NA,"actively mobile","",NA,"carnivore",NA,NA,"","hydroxyapatite",NA,NA,NA
212061,"occ",NA,"",21300,"Euthecodon brumpti","species",266684,"","Euthecodon brumpti",NA,"species",266684,"Gelasian","",2.58,1.8,"Harris et al. 1988",1988,4454,"Chordata","Reptilia","Crocodylia","Crocodylidae","Euthecodon",NA,NA,"",35.766998,4.189,"","West Turkana - Kalochoro region",NA,"ETE Locality 97, Kalochoro region, ","KE","Rift Valley","West Turkana","","4",NA,"","","bin the Laga Kalochoro, about 5km west of the roadcrossing, where the member is 78m thick."" composite of 6 localities: LA1, KK, KG1-2, KL4, and KI3","gplates","712","mid",35.71,3.6,"KE","",NA,NA,"","",NA,NA,"","",NA,NA,"","","Nachukui","Omo","Kalochoro","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: between Kalochoro Tuff (2.36 +/- 0.05) and KBS Tuff (1.88 +/- 0.02); KBS Tuff also dated by Ar/Ar radiometric intage_min","ETE rock type adj: fine-medium grained, ETE lithology comments: also silt, clay, conglomerate, and dolo-mite; upward fining cycles","sandstone","planar lamination","","","","","","","","","lacustrine indet.","rift","ETE sed env 1: lacustrine, ETE sed env 2: lake_margin ETE event: ., ETE env comment: refers to fossiliferous upper part; fluvial lower","","","","","","","","","","","","","","","","","","","","","ETE Abrasion: ., ETE Assemblage formation: ., ETE transport: ., ETE weathering/trampling: ., ETE part concentration: ., ETE time represented: 10^5-10^6 ,ETE vert pres: ., ETE invert pres: ., ETE plant pres: .","","surface (in situ)","","","0","","","","ETE Size: macro; ETE reference list: 6, ; ETE museum list: KENYA N.M.","","","marine",NA,"actively mobile","",NA,"carnivore",NA,NA,"","hydroxyapatite",NA,NA,NA
212158,"occ",NA,"",21332,"Crocodylus sp.","genus",38441,"","Crocodylus",NA,"genus",38441,"Messinian","Piacenzian",7.246,2.58,"Patterson et al. 1970",1970,4648,"Chordata","Reptilia","Crocodylia","Crocodylidae","Crocodylus",NA,NA,"",36.067001,2.883,"","Lothagam 1",NA,"ETE Locality 131, Lothagam 1, Lower Fauna, ","KE","Turkana District","Lothagam Hill","","4",NA,"","","Lothagam 1B & C spans 400m of section and includesmany different fluvial sub-environments","gplates","712","mid",35.93,1.41,"KE","",NA,NA,"","",NA,NA,"","",NA,NA,"","","Lothagam 1","Lothagam","B and C","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: faunal correlation further defines age to between 5.0 and 6.0 My radiometric intage_max, radiometric intage_min","ETE rock type adj: ., ETE lithology comments: also silt","sandstone","","","","","","","","","","fluvial-deltaic indet.","","ETE sed env 1: fluv_deltaic, ETE sed env 2: lake_margin ETE event: ., ETE env comment: overbank silts, paleosolsand conglomerates","","","","","","","","","","","","","","","","","","","","","","","surface (in situ)","","","0","","","","ETE Size: macro; ETE reference list: 6, ; ETE museum list: KNM","","","marine",NA,"actively mobile","",NA,"carnivore",NA,NA,"","hydroxyapatite",NA,NA,NA
212159,"occ",NA,"",21332,"Euthecodon sp.","genus",38445,"","Euthecodon",NA,"genus",38445,"Messinian","Piacenzian",7.246,2.58,"Patterson et al. 1970",1970,4648,"Chordata","Reptilia","Crocodylia","Crocodylidae","Euthecodon",NA,NA,"",36.067001,2.883,"","Lothagam 1",NA,"ETE Locality 131, Lothagam 1, Lower Fauna, ","KE","Turkana District","Lothagam Hill","","4",NA,"","","Lothagam 1B & C spans 400m of section and includesmany different fluvial sub-environments","gplates","712","mid",35.93,1.41,"KE","",NA,NA,"","",NA,NA,"","",NA,NA,"","","Lothagam 1","Lothagam","B and C","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: faunal correlation further defines age to between 5.0 and 6.0 My radiometric intage_max, radiometric intage_min","ETE rock type adj: ., ETE lithology comments: also silt","sandstone","","","","","","","","","","fluvial-deltaic indet.","","ETE sed env 1: fluv_deltaic, ETE sed env 2: lake_margin ETE event: ., ETE env comment: overbank silts, paleosolsand conglomerates","","","","","","","","","","","","","","","","","","","","","","","surface (in situ)","","","0","","","","ETE Size: macro; ETE reference list: 6, ; ETE museum list: KNM","","","marine",NA,"actively mobile","",NA,"carnivore",NA,NA,"","hydroxyapatite",NA,NA,NA
212177,"occ",NA,"",21334,"Crocodylus sp.","genus",38441,"","Crocodylus",NA,"genus",38441,"Piacenzian","",3.6,2.58,"Patterson et al. 1970",1970,4648,"Chordata","Reptilia","Crocodylia","Crocodylidae","Crocodylus",NA,NA,"",36.067001,2.883,"","Lothagam 3",NA,"ETE Locality 133, Lothagam 3, Upper Fauna, ","KE","Turkana District","Lothagam Hill","","4",NA,"","","assemblage can be correlated with the Mursi, LowerShungura, Chemeron, and Kubi Algi Formations","gplates","712","mid",35.99,2,"KE","",NA,NA,"","",NA,NA,"","",NA,NA,"","","Lothagam 3","Lothagam","","","","","","","","","","","","","ETE dating method: composite, ETE age comment: faunal correlation further defines age to between 4.0 and 4.5 My radiometric intage_min","ETE rock type adj: coarse, ETE lithology comments: also silts and clays; 90+m thick","sandstone","","","","","","","","","","","","ETE sed env 1: fluvial, ETE sed env 2: overbank ETE event: ., ETE env comment: interbedded channel and floodplain deposits","","","","","","","","","","","","","","","","","","","","","","","surface (in situ)","","","0","","","","ETE Size: macro; ETE reference list: 6, ; ETE museum list: KNM","","","marine",NA,"actively mobile","",NA,"carnivore",NA,NA,"","hydroxyapatite",NA,NA,NA
212178,"occ",NA,"",21334,"Euthecodon sp.","genus",38445,"","Euthecodon",NA,"genus",38445,"Piacenzian","",3.6,2.58,"Patterson et al. 1970",1970,4648,"Chordata","Reptilia","Crocodylia","Crocodylidae","Euthecodon",NA,NA,"",36.067001,2.883,"","Lothagam 3",NA,"ETE Locality 133, Lothagam 3, Upper Fauna, ","KE","Turkana District","Lothagam Hill","","4",NA,"","","assemblage can be correlated with the Mursi, LowerShungura, Chemeron, and Kubi Algi Formations","gplates","712","mid",35.99,2,"KE","",NA,NA,"","",NA,NA,"","",NA,NA,"","","Lothagam 3","Lothagam","","","","","","","","","","","","","ETE dating method: composite, ETE age comment: faunal correlation further defines age to between 4.0 and 4.5 My radiometric intage_min","ETE rock type adj: coarse, ETE lithology comments: also silts and clays; 90+m thick","sandstone","","","","","","","","","","","","ETE sed env 1: fluvial, ETE sed env 2: overbank ETE event: ., ETE env comment: interbedded channel and floodplain deposits","","","","","","","","","","","","","","","","","","","","","","","surface (in situ)","","","0","","","","ETE Size: macro; ETE reference list: 6, ; ETE museum list: KNM","","","marine",NA,"actively mobile","",NA,"carnivore",NA,NA,"","hydroxyapatite",NA,NA,NA
212189,"occ",NA,"",21335,"Euthecodon sp.","genus",38445,"","Euthecodon",NA,"genus",38445,"Zanclean","",5.333,3.6,"Patterson et al. 1970",1970,4648,"Chordata","Reptilia","Crocodylia","Crocodylidae","Euthecodon",NA,NA,"",36.132999,2.55,"","Ekora",NA,"ETE Locality 134, Ekora, ","KE","Turkana District","","","4",NA,"","","5550-75km south of Lothagam Hill, near the Kerio River","gplates","712","mid",36.03,1.37,"KE","",NA,NA,"","",NA,NA,"","",NA,NA,"","","","","","","","","","","","","","","","","ETE dating method: composite, ETE age comment: max based on age of underlying Kanapoi basalt radiometric intage_max,","ETE rock type adj: coarse, ETE lithology comments: .","sandstone","","","","","","","","","","fluvial-lacustrine indet.","","ETE sed env 1: fluv_lacustr, ETE sed env 2: . ETE event: ., ETE env comment: .","","","","","","","","","","","","","","","","","","","","","","","surface (in situ)","","","0","","","","ETE Size: .; ETE reference list: 6, ; ETE museum list: KNM","","","marine",NA,"actively mobile","",NA,"carnivore",NA,NA,"","hydroxyapatite",NA,NA,NA
212206,"occ",28612,"",21336,"Crocodylus thorbjarnarsoni","species",266669,"","Crocodylus thorbjarnarsoni",NA,"species",266669,"Zanclean","",5.333,3.6,"Brochu and Storrs 2012",2012,46593,"Chordata","Reptilia","Crocodylia","Crocodylidae","Crocodylus",NA,NA,"",36.083,2.367,"","Kanapoi",NA,"ETE Locality 135, Kanapoi, ","KE","Turkana District","","","4",NA,"","","5550-75km south of Lothagam Hill near the Kerio River","gplates","712","mid",35.98,1.19,"KE","",NA,NA,"","",NA,NA,"","",NA,NA,"","","Kanapoi","","","","","","","","","","","","","","ETE dating method: composite, ETE age comment: min based on age of overlying Kanapoi basalt radiometric intage_min","ETE rock type adj: fine-grained, ETE lithology comments: also grit; approximately 70m of seds.","sandstone","","","","","","","","","","fluvial-lacustrine indet.","","ETE sed env 1: fluv_lacustr, ETE sed env 2: . ETE event: ., ETE env comment: .","","","","","","","","","","","","","","","","","","","","","","","surface (in situ)","","","0","","","","ETE Size: both; ETE reference list: 6, ; ETE museum list: KNM","","","marine",NA,"actively mobile","",NA,"carnivore",NA,NA,"","hydroxyapatite",NA,NA,NA
212207,"occ",NA,"",21336,"Euthecodon sp.","genus",38445,"","Euthecodon",NA,"genus",38445,"Zanclean","",5.333,3.6,"Patterson et al. 1970",1970,4648,"Chordata","Reptilia","Crocodylia","Crocodylidae","Euthecodon",NA,NA,"",36.083,2.367,"","Kanapoi",NA,"ETE Locality 135, Kanapoi, ","KE","Turkana District","","","4",NA,"","","5550-75km south of Lothagam Hill near the Kerio River","gplates","712","mid",35.98,1.19,"KE","",NA,NA,"","",NA,NA,"","",NA,NA,"","","Kanapoi","","","","","","","","","","","","","","ETE dating method: composite, ETE age comment: min based on age of overlying Kanapoi basalt radiometric intage_min","ETE rock type adj: fine-grained, ETE lithology comments: also grit; approximately 70m of seds.","sandstone","","","","","","","","","","fluvial-lacustrine indet.","","ETE sed env 1: fluv_lacustr, ETE sed env 2: . ETE event: ., ETE env comment: .","","","","","","","","","","","","","","","","","","","","","","","surface (in situ)","","","0","","","","ETE Size: both; ETE reference list: 6, ; ETE museum list: KNM","","","marine",NA,"actively mobile","",NA,"carnivore",NA,NA,"","hydroxyapatite",NA,NA,NA
212228,"occ",NA,"",21337,"Crocodylus niloticus","species",158096,"","Crocodylus niloticus",NA,"species",158096,"Late Pleistocene","",0.129,0.0117,"Braeuer and Leakey 1986",1986,4652,"Chordata","Reptilia","Crocodylia","Crocodylidae","Crocodylus",NA,NA,"",35.950001,3.367,"","West Turkana - Eliye Springs",NA,"ETE Locality 136, Eliye Springs, ","KE","Rift Valley","Turkana","","4",NA,"","","western shore of Lake Turkana","gplates","not computable using this model","mid",NA,NA,"KE","",NA,NA,"","",NA,NA,"","",NA,NA,"","","","","","","","","","","","","","","","","ETE dating method: time_unit, ETE age comment: .","ETE rock type adj: ., ETE lithology comments: also sand","mudstone","","","","","","","","","","foreshore","","ETE sed env 1: ., ETE sed env 2: beach ETE event: ., ETE env comment: reworked by wave action into modern beach deposit","","","","","","","","","","","","","","","","","","","","","","","surface (in situ)","","","0","","","","ETE Size: macro; ETE reference list: 6, ; ETE museum list: KNM","","","marine",NA,"actively mobile","",NA,"carnivore",NA,NA,"","hydroxyapatite",NA,NA,NA
